epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21152.1,1.25475,0.96122,1.27562,0.77052,0.33285,0.44433,0.28943,1.18106,0.78508,1.1946,0.005842,0.005842,0.005842
44,21654.4,1.25623,0.9559,1.27498,0.83816,0.32118,0.37442,0.25483,1.17826,0.77969,1.1954,0.005743,0.005743,0.005743
45,22158,1.24922,0.95321,1.27302,0.64555,0.3437,0.42983,0.28084,1.17983,0.77867,1.19663,0.005644,0.005644,0.005644
46,22660.4,1.242,0.94432,1.26696,0.65664,0.35945,0.42245,0.26194,1.17707,0.76992,1.19356,0.005545,0.005545,0.005545
47,23164,1.2459,0.93812,1.26276,0.85198,0.31914,0.38935,0.26276,1.17135,0.76799,1.19026,0.005446,0.005446,0.005446
48,23665.6,1.23177,0.93044,1.25957,0.80744,0.33294,0.42163,0.28134,1.16854,0.76379,1.19039,0.005347,0.005347,0.005347
49,24167.1,1.23242,0.92463,1.25535,0.82708,0.3231,0.46301,0.28787,1.17035,0.75785,1.19052,0.005248,0.005248,0.005248
50,24668.6,1.22478,0.92142,1.25107,0.68808,0.32664,0.45156,0.28907,1.17367,0.7571,1.19099,0.005149,0.005149,0.005149
51,25172.8,1.21958,0.90983,1.25181,0.72675,0.32267,0.45526,0.29181,1.1723,0.7595,1.19142,0.00505,0.00505,0.00505
52,25680.3,1.20915,0.90667,1.24608,0.88974,0.31274,0.45962,0.31102,1.17042,0.75989,1.19027,0.004951,0.004951,0.004951
53,26184,1.20693,0.89919,1.24902,0.86846,0.31919,0.44839,0.29879,1.16559,0.75657,1.18862,0.004852,0.004852,0.004852
54,26643.4,1.20918,0.8934,1.24305,0.86756,0.31031,0.47328,0.28842,1.16712,0.75535,1.19026,0.004753,0.004753,0.004753
55,26877.2,1.19757,0.88632,1.23775,0.85448,0.30882,0.45262,0.28232,1.16614,0.75296,1.18976,0.004654,0.004654,0.004654
56,27111.3,1.19377,0.88241,1.23805,0.85363,0.30743,0.45303,0.2912,1.16217,0.75052,1.18779,0.004555,0.004555,0.004555
57,27346.6,1.19806,0.8816,1.23888,0.86633,0.29644,0.45065,0.28237,1.16073,0.75144,1.1872,0.004456,0.004456,0.004456
58,27580.9,1.19112,0.86893,1.23598,0.86805,0.29778,0.46071,0.29228,1.15903,0.74754,1.18549,0.004357,0.004357,0.004357
59,27815.2,1.18047,0.86473,1.22898,0.8762,0.29307,0.45233,0.28777,1.16026,0.74702,1.18546,0.004258,0.004258,0.004258
60,28048.5,1.17667,0.85424,1.22678,0.89268,0.29049,0.41661,0.2721,1.16171,0.7456,1.18707,0.004159,0.004159,0.004159
61,28281.9,1.17465,0.8548,1.22745,0.89606,0.29053,0.418,0.27392,1.1623,0.7454,1.188,0.00406,0.00406,0.00406
62,28514.9,1.16406,0.84365,1.22036,0.88802,0.29054,0.41357,0.27294,1.1611,0.7448,1.18841,0.003961,0.003961,0.003961
63,28748.6,1.1614,0.83906,1.21702,0.8935,0.2916,0.44683,0.28705,1.16037,0.74346,1.18788,0.003862,0.003862,0.003862
64,28982.1,1.15925,0.83071,1.21612,0.50019,0.42892,0.45056,0.28253,1.16025,0.74037,1.18794,0.003763,0.003763,0.003763
65,29215.4,1.1558,0.82967,1.21215,0.84785,0.31556,0.4207,0.27159,1.16062,0.73967,1.18778,0.003664,0.003664,0.003664
66,29448.5,1.15497,0.82597,1.20881,0.46673,0.42917,0.4235,0.27268,1.16078,0.73946,1.18708,0.003565,0.003565,0.003565
67,29681.7,1.14026,0.81342,1.20505,0.50803,0.41072,0.42095,0.27208,1.16038,0.73856,1.18691,0.003466,0.003466,0.003466
68,29915.1,1.1426,0.81015,1.20733,0.85866,0.3161,0.42009,0.27182,1.1609,0.73801,1.18718,0.003367,0.003367,0.003367
69,30148.3,1.14126,0.8083,1.20595,0.86384,0.31627,0.41864,0.27097,1.16222,0.73673,1.18873,0.003268,0.003268,0.003268
70,30381.7,1.13059,0.80057,1.20142,0.85908,0.31636,0.40543,0.26649,1.16133,0.73447,1.18882,0.003169,0.003169,0.003169
71,30615.7,1.12164,0.79304,1.19097,0.85842,0.31881,0.40519,0.26745,1.16074,0.73381,1.1882,0.00307,0.00307,0.00307
72,30848.8,1.12247,0.78728,1.19048,0.85466,0.31885,0.43376,0.27287,1.15983,0.73212,1.18839,0.002971,0.002971,0.002971
73,31082.5,1.11634,0.7828,1.19004,0.85163,0.31998,0.43516,0.27374,1.15818,0.73142,1.18765,0.002872,0.002872,0.002872
74,31317.3,1.11203,0.77405,1.18543,0.84582,0.32317,0.43568,0.27364,1.15743,0.73096,1.18739,0.002773,0.002773,0.002773
75,31552.4,1.10987,0.77043,1.18198,0.84395,0.32419,0.40941,0.27126,1.15725,0.73005,1.18696,0.002674,0.002674,0.002674
76,31786.4,1.10837,0.77163,1.18259,0.84236,0.32285,0.42869,0.27177,1.15707,0.72964,1.1867,0.002575,0.002575,0.002575
77,32019.7,1.09351,0.76116,1.177,0.84854,0.31806,0.43014,0.27179,1.15588,0.72959,1.18618,0.002476,0.002476,0.002476
78,32253.4,1.09266,0.75478,1.17474,0.84961,0.31759,0.42979,0.27048,1.15622,0.72894,1.18666,0.002377,0.002377,0.002377
79,32486.8,1.08849,0.75323,1.17367,0.85166,0.31642,0.42986,0.26815,1.15608,0.72851,1.18662,0.002278,0.002278,0.002278
80,32727.1,1.08213,0.74381,1.1701,0.85298,0.3156,0.42988,0.26653,1.15577,0.72833,1.1864,0.002179,0.002179,0.002179
81,32961.2,1.07641,0.73523,1.16557,0.85542,0.31431,0.42953,0.26326,1.15518,0.72869,1.18611,0.00208,0.00208,0.00208
82,33194.1,1.08174,0.73892,1.16643,0.85634,0.31327,0.4291,0.26339,1.15485,0.72828,1.18579,0.001981,0.001981,0.001981
83,33428.3,1.06754,0.72421,1.15825,0.85862,0.31295,0.41927,0.26247,1.15468,0.72822,1.18562,0.001882,0.001882,0.001882
84,33661.9,1.06282,0.72335,1.1576,0.85917,0.31289,0.41912,0.26294,1.15435,0.72805,1.18557,0.001783,0.001783,0.001783
85,33895.4,1.05969,0.71939,1.15832,0.86279,0.31166,0.41917,0.26285,1.15412,0.72787,1.18553,0.001684,0.001684,0.001684
86,34128.5,1.05848,0.71722,1.15456,0.86919,0.31047,0.41938,0.26327,1.15448,0.72829,1.18592,0.001585,0.001585,0.001585
